|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-09-07|EB06      |Island View Terminal|Tanker Services Fuel      |1,194         |9.32            |15.596416         |1,713.73                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-25|EB21      |Waltloo             |Makwande                  |3,922         |14.56           |50.09768          |7,377.19                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-05|EB21      |Waltloo             |Makwande                  |1,769         |17.03           |48.828042         |4,328.51                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-11|EB21      |Waltloo             |Makwande                  |2,592         |12.92           |27.783004         |3,887.33                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-09|EB06      |Island View Terminal|Tanker Services Fuel      |1,095         |16.1            |18.853472         |2,300.81                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-27|EB21      |Waltloo             |Makwande                  |2,629         |16.29           |32.68673          |5,275.81                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-17|EA33      |Alrode              |Unitrans Supply Chain Sols|1,626         |8.58            |16.314048         |2,578.7                            |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-10|EB21      |Waltloo             |Makwande                  |3,077         |10.43           |23.913904         |4,845.98                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-10|EB06      |Island View Terminal|Tanker Services Fuel      |814           |12.09           |10.108912         |1,835.92                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-02|EB06      |Island View Terminal|Tanker Services Fuel      |397           |13.39           |8.955232          |779.13                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-12|EB08      |Ladysmith           |Tanker Services Fuel      |571           |7.3             |3.665024          |797.65                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-26|EB08      |Ladysmith           |Tanker Services Fuel      |585           |17.08           |11.423104         |999.74                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-19|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|218           |6.81            |2.355264          |232.74                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-05|EA33      |Alrode              |Unitrans Supply Chain Sols|5,494         |8.75            |63.569664         |6,179.79                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-22|EB05      |East London         |Tanker Services Fuel      |411           |2.96            |0.494912          |203.41                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-10-14|EA35      |Bethlehem           |Unitrans Supply Chain Sols|439           |10.23           |7.07616           |878.47                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-22|EB21      |Waltloo             |Makwande                  |940           |18.9            |27.090865         |2,237.94                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-15|EA33      |Alrode              |Unitrans Supply Chain Sols|2,738         |6.05            |14.639616         |3,780.11                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-27|EB44      |Witbank             |Makwande                  |537           |15.5            |4.443733          |1,192.09                           |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-22|EB21      |Waltloo             |Makwande                  |1,674         |7.87            |11.284875         |1,700.92                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-16|EB21      |Waltloo             |Makwande                  |5,002         |15.46           |55.395481         |6,870.06                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-15|EB08      |Ladysmith           |Tanker Services Fuel      |115           |10.98           |1.835856          |211.12                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-06|EA35      |Bethlehem           |Unitrans Supply Chain Sols|1,457         |10.26           |14.183424         |1,803.82                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-25|EA35      |Bethlehem           |Unitrans Supply Chain Sols|310           |4.36            |0.753408          |233.56                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-27|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|377           |17.89           |9.274176          |853.75                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-05|EA33      |Alrode              |Unitrans Supply Chain Sols|1,860         |4.46            |10.018944         |1,663.36                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-08|EA35      |Bethlehem           |Unitrans Supply Chain Sols|537           |2.82            |1.463616          |337.35                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-09-07|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|482           |23.96           |20.703168         |1,283.12                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-16|EB06      |Island View Terminal|Tanker Services Fuel      |1,459         |15.73           |28.930616         |2,338.98                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-12|EA35      |Bethlehem           |Unitrans Supply Chain Sols|93            |12.05           |4.16448           |171.93                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-17|EB06      |Island View Terminal|Tanker Services Fuel      |3,300         |23.47           |70.635312         |8,777.26                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-06|EB44      |Witbank             |Makwande                  |509           |14.89           |6.404077          |520.46                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-12|EB21      |Waltloo             |Makwande                  |2,129         |15.02           |32.291222         |4,330.63                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-02|EA35      |Bethlehem           |Unitrans Supply Chain Sols|547           |34.18           |11.814336         |2,805.76                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-09|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|173           |3.53            |0.609984          |105.53                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-09|EB08      |Ladysmith           |Tanker Services Fuel      |660           |12.73           |8.515496          |1,085.58                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-21|EB08      |Ladysmith           |Tanker Services Fuel      |335           |3.65            |1.832512          |242.28                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-06|EB44      |Witbank             |Makwande                  |97            |1.98            |0.283734          |27.52                              |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-18|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|470           |15.41           |10.656576         |1,310.53                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-14|EB08      |Ladysmith           |Tanker Services Fuel      |142           |3.88            |1.297472          |95.42                              |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-30|EB06      |Island View Terminal|Tanker Services Fuel      |218           |6               |1.0032            |218.7                              |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-29|EB16      |Natref              |Maphalakarabo             |262           |15.4            |1.53384           |401.87                             |Primary         |MPK-VEN-DIR-1   |463,324                 |
|2024-09-17|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|429           |2.45            |0.42336           |181.62                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-15|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|208           |24.71           |8.539776          |888.14                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-19|EB08      |Ladysmith           |Tanker Services Fuel      |525           |3.67            |1.227248          |346.55                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-20|EB08      |Ladysmith           |Tanker Services Fuel      |446           |16.78           |14.029752         |620.68                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-11|EB16      |Natref              |Maphalakarabo             |267           |15.25           |1.5189            |405.55                             |Primary         |MPK-VEN-DIR-1   |463,324                 |
|2024-09-14|EB06      |Island View Terminal|Tanker Services Fuel      |479           |12.35           |6.19476           |808.48                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-22|EA33      |Alrode              |Unitrans Supply Chain Sols|812           |8.34            |8.650368          |815.24                             |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-12|EB06      |Island View Terminal|Tanker Services Fuel      |896           |6.09            |6.11116           |1,062.59                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-22|EB08      |Ladysmith           |Tanker Services Fuel      |253           |0               |0                 |0                                  |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-17|EB06      |Island View Terminal|Tanker Services Fuel      |2,076         |9.58            |11.220792         |3,369.4                            |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-14|EB08      |Ladysmith           |Tanker Services Fuel      |517           |18.55           |6.20312           |1,798.34                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-22|EA35      |Bethlehem           |Unitrans Supply Chain Sols|198           |3.84            |1.328832          |116.94                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-10|EB44      |Witbank             |Makwande                  |1,036         |10.23           |4.400743          |1,921.44                           |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-21|EB08      |Ladysmith           |Tanker Services Fuel      |766           |12.6            |6.323504          |1,748.48                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-12|EB08      |Ladysmith           |Tanker Services Fuel      |213           |9.31            |1.556632          |331.56                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-24|EA35      |Bethlehem           |Unitrans Supply Chain Sols|442           |8.07            |5.577984          |660.35                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-10|EB08      |Ladysmith           |Tanker Services Fuel      |651           |3.95            |1.98132           |331.74                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-28|EB05      |East London         |Tanker Services Fuel      |82            |10.99           |1.837528          |150.68                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-09-13|EA35      |Bethlehem           |Unitrans Supply Chain Sols|125           |8.76            |1.513728          |189.22                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-01|EB05      |East London         |Tanker Services Fuel      |733           |8.76            |2.931016          |1,105.38                           |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-10-28|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|289           |21.65           |7.483968          |1,320.06                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-20|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|322           |5.71            |1.973376          |347.07                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-05|EB08      |Ladysmith           |Tanker Services Fuel      |381           |6.65            |1.11188           |423.63                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-10|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|205           |12.18           |4.211136          |315.33                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-09|EB44      |Witbank             |Makwande                  |216           |7.28            |1.043224          |225.34                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-01|EA35      |Bethlehem           |Unitrans Supply Chain Sols|87            |7.43            |1.283904          |111.7                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-21|EA35      |Bethlehem           |Unitrans Supply Chain Sols|69            |16.37           |2.828736          |195.18                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-20|EB21      |Waltloo             |Makwande                  |46            |18.36           |2.630988          |121.03                             |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-23|EB05      |East London         |Tanker Services Fuel      |153           |7.24            |1.210528          |185.21                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-08-20|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|210           |6.91            |2.389824          |276.21                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-26|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|168           |14.17           |4.897152          |462                                |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-23|EB08      |Ladysmith           |Tanker Services Fuel      |92            |2.5             |0.418             |38.46                              |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-16|EA35      |Bethlehem           |Unitrans Supply Chain Sols|275           |1.49            |0.257472          |70.8                               |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-09-08|EA35      |Bethlehem           |Unitrans Supply Chain Sols|100           |10.87           |1.878336          |187.83                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-25|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|63            |5.08            |0.877824          |55.3                               |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-03|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|323           |33.91           |11.721024         |2,651.79                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-17|EB44      |Witbank             |Makwande                  |896           |1.16            |0.332456          |148.94                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-11|EB06      |Island View Terminal|Tanker Services Fuel      |433           |7.28            |4.872208          |514.09                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-13|EA33      |Alrode              |Unitrans Supply Chain Sols|661           |9.04            |9.379584          |994.51                             |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-07|EB44      |Witbank             |Makwande                  |178           |15.42           |2.209686          |393.32                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-05|EB05      |East London         |Tanker Services Fuel      |580           |4.76            |2.387616          |152.55                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-08-03|EB08      |Ladysmith           |Tanker Services Fuel      |466           |5.77            |1.929488          |480.23                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-30|EB44      |Witbank             |Makwande                  |110           |6.68            |0.957244          |105.3                              |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-14|EB05      |East London         |Tanker Services Fuel      |196           |62.41           |20.869904         |2,045.26                           |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-09-18|EA33      |Alrode              |Unitrans Supply Chain Sols|944           |12.4            |8.574336          |1,866.81                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-12|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|311           |10.86           |1.876608          |583.63                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-24|EB05      |East London         |Tanker Services Fuel      |498           |9.6             |3.211912          |574.8                              |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-09-30|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|113           |0.31            |0.053568          |6.05                               |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-16|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|158           |19.62           |3.390336          |535.67                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-19|EB16      |Natref              |Maphalakarabo             |262           |15.36           |1.529856          |400.82                             |Primary         |MPK-VEN-DIR-1   |463,324                 |
|2024-09-09|EB06      |Island View Terminal|Tanker Services Fuel      |712           |8.46            |2.829024          |1,275.27                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-21|EB44      |Witbank             |Makwande                  |255           |5.58            |0.799614          |203.9                              |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-06|EB05      |East London         |Tanker Services Fuel      |22            |65.88           |11.015136         |242.33                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-08-16|EB44      |Witbank             |Makwande                  |421           |21.52           |9.252881          |905.78                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-05|EB44      |Witbank             |Makwande                  |181           |21.1            |9.073756          |286.07                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-25|EB44      |Witbank             |Makwande                  |246           |15.02           |2.152366          |529.48                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-15|EA35      |Bethlehem           |Unitrans Supply Chain Sols|51            |6.81            |1.176768          |60.02                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-15|EB08      |Ladysmith           |Tanker Services Fuel      |570           |13.67           |6.860216          |1,541.06                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-17|EB05      |East London         |Tanker Services Fuel      |68            |13.83           |2.312376          |157.24                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-09-23|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|94            |9.57            |1.653696          |155.45                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-05|EB08      |Ladysmith           |Tanker Services Fuel      |643           |12              |6.022544          |1,335.35                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-10-03|EB05      |East London         |Tanker Services Fuel      |361           |7.22            |1.207184          |435.79                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-10-08|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|101           |1.54            |0.266112          |26.88                              |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-11|EA35      |Bethlehem           |Unitrans Supply Chain Sols|192           |13.07           |4.516992          |436.39                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-04|EB44      |Witbank             |Makwande                  |590           |11.67           |3.344622          |1,164.33                           |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-04|EB06      |Island View Terminal|Tanker Services Fuel      |380           |36.79           |18.455536         |2,371.41                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-07|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|261           |14.33           |4.952448          |681.87                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-09|EB06      |Island View Terminal|Tanker Services Fuel      |190           |6.43            |2.150192          |185.21                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-09|EB08      |Ladysmith           |Tanker Services Fuel      |317           |12.95           |2.16524           |686.38                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-29|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|118           |18.21           |3.146688          |371.31                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-18|EA35      |Bethlehem           |Unitrans Supply Chain Sols|382           |23.28           |4.022784          |1,536.7                            |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-01|EB08      |Ladysmith           |Tanker Services Fuel      |249           |24.51           |4.098072          |1,020.42                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-26|EB05      |East London         |Tanker Services Fuel      |86            |2.48            |0.414656          |35.66                              |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-08-04|EB44      |Witbank             |Makwande                  |55            |12.43           |1.781219          |97.97                              |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-20|EB21      |Waltloo             |Makwande                  |1,227         |23.03           |29.703224         |4,010.74                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-28|EB06      |Island View Terminal|Tanker Services Fuel      |524           |8.02            |6.70472           |808.29                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-02|EB06      |Island View Terminal|Tanker Services Fuel      |1,816         |22.45           |41.293384         |5,126.63                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-12|EB21      |Waltloo             |Makwande                  |612           |14.39           |14.436042         |1,187.36                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-23|EA33      |Alrode              |Unitrans Supply Chain Sols|4,153         |10.69           |53.592192         |5,567.67                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-26|EA35      |Bethlehem           |Unitrans Supply Chain Sols|815           |10.82           |7.48224           |2,670.22                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-28|EB06      |Island View Terminal|Tanker Services Fuel      |1,476         |19.78           |36.38272          |3,963.88                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-27|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|177           |18.74           |6.476544          |481.83                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-05|EB21      |Waltloo             |Makwande                  |1,341         |8.73            |10.008072         |1,342.67                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-17|EA33      |Alrode              |Unitrans Supply Chain Sols|2,748         |10.91           |50.912064         |4,418.2                            |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-26|EA33      |Alrode              |Unitrans Supply Chain Sols|3,076         |14.78           |61.316352         |7,221.93                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-30|EB06      |Island View Terminal|Tanker Services Fuel      |642           |10.92           |5.479144          |941.69                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-14|EB06      |Island View Terminal|Tanker Services Fuel      |1,214         |18.47           |18.530776         |2,259.51                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-14|EB44      |Witbank             |Makwande                  |285           |30.39           |4.354887          |1,241.14                           |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-28|EB21      |Waltloo             |Makwande                  |2,890         |17.4            |57.34866          |5,565.24                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-15|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|343           |18.4            |9.53856           |1,050.93                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-27|EA33      |Alrode              |Unitrans Supply Chain Sols|990           |8.22            |14.205888         |1,220.75                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-29|EB06      |Island View Terminal|Tanker Services Fuel      |1,784         |13.22           |15.472688         |6,146.56                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-13|EA33      |Alrode              |Unitrans Supply Chain Sols|4,715         |13.37           |80.9136           |8,887.72                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-14|EB21      |Waltloo             |Makwande                  |2,115         |10.29           |17.706148         |3,032.25                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-03|EA33      |Alrode              |Unitrans Supply Chain Sols|3,240         |14.73           |45.833472         |7,089.85                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-05|EB05      |East London         |Tanker Services Fuel      |83            |4.76            |1.593416          |76.09                              |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-08-17|EB08      |Ladysmith           |Tanker Services Fuel      |753           |8.71            |8.742888          |1,025.23                           |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-05|EB21      |Waltloo             |Makwande                  |6,555         |11.68           |65.297511         |10,543.19                          |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-14|EA35      |Bethlehem           |Unitrans Supply Chain Sols|402           |17.68           |12.220416         |1,576.61                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-22|EB44      |Witbank             |Makwande                  |937           |18.63           |5.340791          |2,631.82                           |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-12|EA33      |Alrode              |Unitrans Supply Chain Sols|1,049         |13.86           |16.77024          |2,879.62                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-15|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|808           |6.53            |3.385152          |682.57                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-25|EB06      |Island View Terminal|Tanker Services Fuel      |1,415         |15.7            |28.878784         |3,755.97                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-26|EA33      |Alrode              |Unitrans Supply Chain Sols|4,883         |9.22            |57.367872         |6,719.82                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-04|EA33      |Alrode              |Unitrans Supply Chain Sols|1,967         |11.3            |31.25952          |2,996.28                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-26|EB44      |Witbank             |Makwande                  |91            |34.95           |10.01667          |456.19                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-06|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|459           |4.06            |2.104704          |570.28                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-24|EB06      |Island View Terminal|Tanker Services Fuel      |1,863         |11.49           |24.976336         |3,774.65                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-01|EB06      |Island View Terminal|Tanker Services Fuel      |228           |23.44           |11.757504         |491.05                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-26|EA33      |Alrode              |Unitrans Supply Chain Sols|1,042         |10.66           |12.896064         |1,646.45                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-09-13|EB06      |Island View Terminal|Tanker Services Fuel      |784           |6.28            |3.15172           |875.38                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-11|EB05      |East London         |Tanker Services Fuel      |282           |5.06            |2.539768          |264.14                             |Secondary       |TNK-ESL-DIR-2022|791,559                 |
|2024-10-01|EB06      |Island View Terminal|Tanker Services Fuel      |439           |12.68           |4.241864          |807.85                             |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-20|EB06      |Island View Terminal|Tanker Services Fuel      |308           |40.46           |27.062992         |2,051.25                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-08-27|EA35      |Bethlehem           |Unitrans Supply Chain Sols|937           |13.96           |9.654336          |2,656.04                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-28|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|316           |12.46           |4.306176          |534.99                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-22|EB06      |Island View Terminal|Tanker Services Fuel      |1,096         |13.01           |10.87636          |2,422.16                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-18|EB21      |Waltloo             |Makwande                  |208           |16.48           |4.723168          |483.61                             |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-10|EA35      |Bethlehem           |Unitrans Supply Chain Sols|671           |10.25           |3.5424            |1,462.95                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-10-13|EB21      |Waltloo             |Makwande                  |1,369         |9.28            |9.313067          |1,710.14                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-23|EA35      |Bethlehem           |Unitrans Supply Chain Sols|704           |30.98           |5.353344          |3,768.75                           |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-13|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|315           |11.49           |5.958144          |623.5                              |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-10|EA33      |Alrode              |Unitrans Supply Chain Sols|1,802         |8.63            |32.835456         |2,912.24                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-16|EB21      |Waltloo             |Makwande                  |3,221         |20              |60.196031         |9,301.43                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-18|EB44      |Witbank             |Makwande                  |207           |21.31           |3.053723          |632.12                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-08-20|EB06      |Island View Terminal|Tanker Services Fuel      |1,665         |8.56            |18.606016         |2,311.1                            |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-06|EB06      |Island View Terminal|Tanker Services Fuel      |1,382         |11.24           |16.917296         |1,853.23                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
