|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-09-19|EB06      |Island View Terminal|Tanker Services Fuel      |948           |23.08           |15.435904         |2,776.88                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-27|EB44      |Witbank             |Makwande                  |320           |11.3            |3.23858           |502.83                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-11|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|239           |17.68           |6.111936          |774.45                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-16|EA33      |Alrode              |Unitrans Supply Chain Sols|517           |10.96           |9.46944           |856.08                             |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-02|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|180           |13.97           |2.414016          |434.52                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-29|EB06      |Island View Terminal|Tanker Services Fuel      |603           |18.22           |9.140824          |1,104.76                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-09-17|EB44      |Witbank             |Makwande                  |169           |20.75           |2.973475          |502.52                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-09-05|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|467           |5.25            |2.7216            |725.52                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-11|EB44      |Witbank             |Makwande                  |188           |10              |4.300433          |254.61                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-05|EB44      |Witbank             |Makwande                  |567           |1.53            |0.439931          |124.9                              |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-23|EB44      |Witbank             |Makwande                  |247           |4.68            |0.670644          |165.65                             |Secondary       |MKW-WIT-DIR-2022|1,136,722               |
|2024-10-08|EA35      |Bethlehem           |Unitrans Supply Chain Sols|125           |3.12            |0.539136          |67.39                              |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-14|EB06      |Island View Terminal|Tanker Services Fuel      |1,086         |20.68           |27.661568         |3,286.27                           |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
